ID,Betrieb,Feldname,Fläche (ha),Erntejahr,Aussaattermin,Erntedatum,Kultur,realer Ertrag (dt / ha),reale N-Menge (kg N / ha),Unnamed: 11,Unnamed: 12
,Farm 10,Field 47,37.5633,2022.0,2021-08-14 00:00:00,2022-07-20 00:00:00.000,Winterraps,34.26219208642478,112.0,,
,Farm 10,Field 48,3.815,2023.0,2022-09-27 00:00:00,2023-08-21 00:00:00.000,Winterweichweizen,59.70117955439056,115.0,,
,Farm 10,Field 48,3.815,2022.0,2022-03-12 00:00:00,2022-09-01 00:00:00.000,Winterackerbohnen,19.71218872870249,112.0,,
,Farm 10,Field 49,33.697,2023.0,2022-09-30 00:00:00,2023-08-21 00:00:00.000,Winterweichweizen,53.08484434816155,193.0,,
,Farm 10,Field 49,33.697,2022.0,2021-08-14 00:00:00,2022-07-23 00:00:00.000,Winterraps,34.59655162180609,111.0,,
,Farm 11,Field 50,46.1,2020.0,2019-10-10 00:00:00,2020-07-10 00:00:00.000,Wintergerste,112.0,126.82,,
,Farm 11,Field 50,46.1,2016.0,2015-10-15 00:00:00,2016-07-25 00:00:00.000,Winterweichweizen,99.0,191.76,,
,Farm 11,Field 50,46.1,2018.0,2017-10-15 00:00:00,2018-07-25 00:00:00.000,Winterweichweizen,47.0,163.82,,
,Farm 11,Field 50,46.1,2017.0,2016-09-01 00:00:00,2017-07-20 00:00:00.000,Winterraps,36.0,226.1,,
,Farm 11,Field 50,46.1,2021.0,2020-09-01 00:00:00,2020-07-20 00:00:00.000,Winterraps,33.0,175.6,,
,Farm 11,Field 51,39.28,2018.0,2017-10-10 00:00:00,2018-07-10 00:00:00.000,Wintergerste,68.0,133.07999999999998,,
,Farm 11,Field 51,39.28,2019.0,2018-09-01 00:00:00,2019-07-20 00:00:00.000,Winterraps,42.0,141.0,,
,Farm 11,Field 52,44.18,2016.0,2015-10-15 00:00:00,2016-07-25 00:00:00.000,Winterweichweizen,100.0,222.05,,
,Farm 11,Field 52,44.18,2021.0,2020-10-15 00:00:00,2021-07-25 00:00:00.000,Winterweichweizen,87.0,202.82999999999998,,
,Farm 11,Field 52,44.18,2020.0,2019-09-01 00:00:00,2020-07-20 00:00:00.000,Winterraps,43.0,181.84,,
,Farm 11,Field 52,44.18,2019.0,2018-10-10 00:00:00,2019-07-10 00:00:00.000,Wintergerste,92.0,133.4,,
,Farm 12,Field 53,66.1,2018.0,2017-10-15 00:00:00,2018-07-25 00:00:00.000,Winterweichweizen,76.73,208.284,,
,Farm 12,Field 53,66.1,2021.0,2020-10-15 00:00:00,2021-07-25 00:00:00.000,Winterweichweizen,77.2,202.01999999999998,,
,Farm 12,Field 53,66.1,2019.0,2018-09-01 00:00:00,2019-07-20 00:00:00.000,Winterraps,38.87,176.76,,
,Farm 12,Field 53,66.1,2016.0,2015-10-15 00:00:00,2016-07-25 00:00:00.000,Winterweichweizen,101.19,168.01,,
,Farm 12,Field 54,32.4,2021.0,2020-10-15 00:00:00,2021-07-25 00:00:00.000,Winterweichweizen,79.31,179.95999999999998,,
,Farm 12,Field 54,32.4,2020.0,2019-09-01 00:00:00,2020-07-20 00:00:00.000,Winterraps,44.13,204.72,,
